index,y
2020-01-09 13:19:36.822523,0.67
2020-01-09 13:19:36.872751,1.0
2020-01-09 13:19:36.922788,0.49
2020-01-09 13:19:36.972922,0.1
2020-01-09 13:19:37.023437,-0.41
2020-01-09 13:19:37.074140,-0.74
2020-01-09 13:19:37.125581,-0.96
2020-01-09 13:19:37.175788,-0.97
2020-01-09 13:19:37.226562,-0.85
2020-01-09 13:19:37.279217,-0.66
2020-01-09 13:19:37.330579,-0.29
2020-01-09 13:19:37.380802,0.06
2020-01-09 13:19:37.431326,0.4
2020-01-09 13:19:37.481340,0.95
2020-01-09 13:19:37.531470,0.74
2020-01-09 13:19:37.582291,0.05
2020-01-09 13:19:37.632533,-0.61
2020-01-09 13:19:37.682640,-1.0
2020-01-09 13:19:37.732727,-0.47
2020-01-09 13:19:37.783055,0.5
2020-01-09 13:19:37.833082,0.93
2020-01-09 13:19:37.883226,0.93
2020-01-09 13:19:37.933253,0.22
2020-01-09 13:19:37.983419,-0.65
2020-01-09 13:19:38.033793,-1.0
2020-01-09 13:19:38.083920,-0.77
2020-01-09 13:19:38.134598,-0.44
2020-01-09 13:19:38.185645,0.15
2020-01-09 13:19:38.235780,0.75
2020-01-09 13:19:38.287376,1.0
2020-01-09 13:19:38.341477,0.9
2020-01-09 13:19:38.391705,0.81
2020-01-09 13:19:38.441789,0.26
2020-01-09 13:19:38.492258,-0.62
2020-01-09 13:19:38.542716,-1.0
2020-01-09 13:19:38.593064,-0.73
2020-01-09 13:19:38.643524,-0.12
2020-01-09 13:19:38.693791,0.74
2020-01-09 13:19:38.744235,0.95
2020-01-09 13:19:38.794293,0.3
2020-01-09 13:19:38.845012,-0.48
2020-01-09 13:19:38.895133,-0.9
2020-01-09 13:19:38.945471,-0.92
2020-01-09 13:19:38.995687,-0.22
2020-01-09 13:19:39.045790,0.53
2020-01-09 13:19:39.096244,0.94
2020-01-09 13:19:39.146691,0.98
2020-01-09 13:19:39.197153,0.28
2020-01-09 13:19:39.247155,-0.59
2020-01-09 13:19:39.297627,-0.94
2020-01-09 13:19:39.348919,-0.92
2020-01-09 13:19:39.399021,-0.33
2020-01-09 13:19:39.449343,0.62
2020-01-09 13:19:39.499368,0.99
2020-01-09 13:19:39.549498,0.36
2020-01-09 13:19:39.599665,-0.52
2020-01-09 13:19:39.649951,-0.93
2020-01-09 13:19:39.700289,-0.81
2020-01-09 13:19:39.750791,0.01
2020-01-09 13:19:39.801012,0.85
2020-01-09 13:19:39.851378,0.97
2020-01-09 13:19:39.901428,0.47
2020-01-09 13:19:39.951559,-0.51
2020-01-09 13:19:40.002287,-0.96
2020-01-09 13:19:40.052717,-0.91
2020-01-09 13:19:40.104302,-0.52
2020-01-09 13:19:40.156687,-0.07
2020-01-09 13:19:40.207057,0.61
2020-01-09 13:19:40.257186,1.0
2020-01-09 13:19:40.307459,0.69
2020-01-09 13:19:40.357796,0.13
2020-01-09 13:19:40.407841,-0.57
2020-01-09 13:19:40.458110,-1.0
2020-01-09 13:19:40.508309,-0.47
2020-01-09 13:19:40.558980,0.38
2020-01-09 13:19:40.610609,0.79
2020-01-09 13:19:40.660741,0.96
2020-01-09 13:19:40.711055,0.84
2020-01-09 13:19:40.761256,0.02
2020-01-09 13:19:40.811262,-0.84
2020-01-09 13:19:40.862207,-0.96
2020-01-09 13:19:40.912456,-0.59
2020-01-09 13:19:40.962845,0.4
2020-01-09 13:19:41.013091,0.99
2020-01-09 13:19:41.066541,0.97
2020-01-09 13:19:41.116698,0.94
2020-01-09 13:19:41.171854,0.9
2020-01-09 13:19:41.226582,0.85
2020-01-09 13:19:41.276587,0.79
2020-01-09 13:19:41.331608,0.72
2020-01-09 13:19:41.381670,0.65
2020-01-09 13:19:41.431759,0.57
2020-01-09 13:19:41.487021,0.48
2020-01-09 13:19:41.541567,0.38
2020-01-09 13:19:41.591602,0.28
2020-01-09 13:19:41.641685,0.19
2020-01-09 13:19:41.696625,0.08
2020-01-09 13:19:41.746925,-0.02
2020-01-09 13:19:41.801662,-0.13
2020-01-09 13:19:41.856643,-0.24
2020-01-09 13:19:41.906814,-0.34
2020-01-09 13:19:41.961779,-0.44
2020-01-09 13:19:42.016705,-0.53
2020-01-09 13:19:42.071638,-0.62
2020-01-09 13:19:42.126653,-0.71
2020-01-09 13:19:42.176708,-0.77
2020-01-09 13:19:42.228321,-0.83
2020-01-09 13:19:42.281653,-0.89
2020-01-09 13:19:42.331657,-0.93
2020-01-09 13:19:42.381692,-0.96
2020-01-09 13:19:42.431829,-0.98
2020-01-09 13:19:42.486730,-1.0
2020-01-09 13:19:42.541640,-1.0
2020-01-09 13:19:42.591649,-0.99
2020-01-09 13:19:42.641675,-0.97
2020-01-09 13:19:42.696739,-0.94
2020-01-09 13:19:42.751643,-0.89
2020-01-09 13:19:42.806664,-0.84
2020-01-09 13:19:42.861620,-0.78
2020-01-09 13:19:42.911640,-0.71
2020-01-09 13:19:42.961711,-0.64
2020-01-09 13:19:43.014530,-0.55
2020-01-09 13:19:43.066674,-0.46
2020-01-09 13:19:43.116717,-0.37
2020-01-09 13:19:43.166739,-0.27
2020-01-09 13:19:43.221791,-0.17
2020-01-09 13:19:43.276604,-0.06
2020-01-09 13:19:43.326647,0.04
2020-01-09 13:19:43.381654,0.15
2020-01-09 13:19:43.431694,0.25
2020-01-09 13:19:43.487318,0.35
2020-01-09 13:19:43.541631,0.45
2020-01-09 13:19:43.596626,0.55
2020-01-09 13:19:43.646634,0.63
2020-01-09 13:19:43.701510,0.71
2020-01-09 13:19:43.751971,0.78
2020-01-09 13:19:43.807546,0.84
2020-01-09 13:19:43.861520,0.9
2020-01-09 13:19:43.911549,0.94
2020-01-09 13:19:43.966539,0.97
2020-01-09 13:19:44.017693,0.99
2020-01-09 13:19:44.071612,1.0
2020-01-09 13:19:44.126561,1.0
2020-01-09 13:19:44.181498,0.98
2020-01-09 13:19:44.231538,0.96
2020-01-09 13:19:44.281602,0.93
2020-01-09 13:19:44.331605,0.89
2020-01-09 13:19:44.386532,0.83
2020-01-09 13:19:44.441522,0.76
2020-01-09 13:19:44.491523,0.7
2020-01-09 13:19:44.541567,0.62
2020-01-09 13:19:44.591647,0.54
2020-01-09 13:19:44.646548,0.44
2020-01-09 13:19:44.696594,0.35
2020-01-09 13:19:44.751530,0.25
2020-01-09 13:19:44.801678,0.15
2020-01-09 13:19:44.857074,0.04
2020-01-09 13:19:44.911613,-0.07
2020-01-09 13:19:44.966611,-0.18
2020-01-09 13:19:45.016648,-0.28
2020-01-09 13:19:45.066879,-0.37
2020-01-09 13:19:45.121696,-0.47
2020-01-09 13:19:45.176606,-0.57
2020-01-09 13:19:45.231582,-0.65
2020-01-09 13:19:45.281621,-0.73
2020-01-09 13:19:45.331661,-0.79
2020-01-09 13:19:45.381679,-0.85
2020-01-09 13:19:45.431737,-0.9
2020-01-09 13:19:45.486562,-0.94
2020-01-09 13:19:45.541625,-0.97
2020-01-09 13:19:45.591639,-0.99
2020-01-09 13:19:45.642453,-1.0
2020-01-09 13:19:45.696600,-1.0
2020-01-09 13:19:45.746606,-0.99
2020-01-09 13:19:45.796710,-0.96
2020-01-09 13:19:45.847392,-0.93
2020-01-09 13:19:45.901636,-0.89
2020-01-09 13:19:45.956569,-0.83
2020-01-09 13:19:46.006638,-0.77
2020-01-09 13:19:46.061596,-0.7
2020-01-09 13:19:46.116655,-0.61
2020-01-09 13:19:46.166709,-0.53
2020-01-09 13:19:46.221649,-0.43
2020-01-09 13:19:46.271737,-0.34
2020-01-09 13:19:46.326595,-0.24
2020-01-09 13:19:46.376679,-0.14
2020-01-09 13:19:46.426710,-0.04
2020-01-09 13:19:46.481502,0.07
2020-01-09 13:19:46.536473,0.18
2020-01-09 13:19:46.586499,0.28
2020-01-09 13:19:46.636546,0.37
2020-01-09 13:19:46.686565,0.46
2020-01-09 13:19:46.741472,0.56
2020-01-09 13:19:46.791484,0.64
2020-01-09 13:19:46.841497,0.71
2020-01-09 13:19:46.891699,0.78
2020-01-09 13:19:46.946630,0.84
2020-01-09 13:19:47.001669,0.9
2020-01-09 13:19:47.056509,0.94
2020-01-09 13:19:47.111614,0.97
2020-01-09 13:19:47.166675,0.99
2020-01-09 13:19:47.216873,1.0
2020-01-09 13:19:47.271532,1.0
2020-01-09 13:19:47.326563,0.98
2020-01-09 13:19:47.381517,0.96
2020-01-09 13:19:47.431783,0.92
2020-01-09 13:19:47.486558,0.87
2020-01-09 13:19:47.541496,0.81
2020-01-09 13:19:47.591508,0.75
2020-01-09 13:19:47.641578,0.68
2020-01-09 13:19:47.691581,0.61
2020-01-09 13:19:47.741716,0.52
2020-01-09 13:19:47.796548,0.43
2020-01-09 13:19:47.851535,0.32
2020-01-09 13:19:47.906540,0.22
2020-01-09 13:19:47.956806,0.12
2020-01-09 13:19:48.011912,0.01
2020-01-09 13:19:48.066622,-0.1
2020-01-09 13:19:48.121599,-0.21
2020-01-09 13:19:48.176610,-0.31
2020-01-09 13:19:48.226625,-0.41
2020-01-09 13:19:48.278246,-0.5
2020-01-09 13:19:48.331619,-0.59
2020-01-09 13:19:48.386563,-0.67
2020-01-09 13:19:48.441577,-0.75
2020-01-09 13:19:48.491621,-0.81
2020-01-09 13:19:48.541680,-0.87
2020-01-09 13:19:48.596535,-0.92
2020-01-09 13:19:48.646579,-0.95
2020-01-09 13:19:48.696615,-0.98
