index,y
2020-01-07 08:24:11.294470,0.74
2020-01-07 08:24:11.348244,0.64
2020-01-07 08:24:11.403189,0.56
2020-01-07 08:24:11.453242,0.47
2020-01-07 08:24:11.511099,0.38
2020-01-07 08:24:11.563497,0.27
2020-01-07 08:24:11.618347,0.16
2020-01-07 08:24:11.669866,0.06
2020-01-07 08:24:11.723397,-0.05
2020-01-07 08:24:11.778038,-0.13
2020-01-07 08:24:11.837733,-0.24
2020-01-07 08:24:11.888487,-0.37
2020-01-07 08:24:11.939256,-0.46
2020-01-07 08:24:11.994561,-0.56
2020-01-07 08:24:12.048520,-0.65
2020-01-07 08:24:12.102835,-0.72
2020-01-07 08:24:12.153397,-0.79
2020-01-07 08:24:12.203633,-0.85
2020-01-07 08:24:12.258333,-0.9
2020-01-07 08:24:12.308337,-0.94
2020-01-07 08:24:12.358810,-0.97
2020-01-07 08:24:12.413430,-0.99
2020-01-07 08:24:12.468240,-1.0
2020-01-07 08:24:12.518262,-1.0
2020-01-07 08:24:12.568298,-0.99
2020-01-07 08:24:12.618303,-0.96
2020-01-07 08:24:12.674143,-0.93
2020-01-07 08:24:12.728285,-0.88
2020-01-07 08:24:12.779107,-0.83
2020-01-07 08:24:12.832017,-0.77
2020-01-07 08:24:12.883428,-0.69
2020-01-07 08:24:12.936696,-0.62
2020-01-07 08:24:12.990011,-0.53
2020-01-07 08:24:13.043160,-0.47
2020-01-07 08:24:13.094774,-0.35
2020-01-07 08:24:13.148398,-0.24
2020-01-07 08:24:13.206935,-0.14
2020-01-07 08:24:13.295948,-0.08
2020-01-07 08:24:13.353575,-0.05
2020-01-07 08:24:13.409268,0.01
2020-01-07 08:24:13.459835,0.13
2020-01-07 08:24:13.513283,0.47
2020-01-07 08:24:13.563900,0.56
2020-01-07 08:24:13.618189,0.65
2020-01-07 08:24:13.668236,0.72
2020-01-07 08:24:13.723507,0.79
2020-01-07 08:24:13.780556,0.85
2020-01-07 08:24:13.833609,0.91
2020-01-07 08:24:13.888177,0.95
2020-01-07 08:24:13.938242,0.97
2020-01-07 08:24:13.993518,0.99
2020-01-07 08:24:14.043629,1.0
2020-01-07 08:24:14.098193,1.0
2020-01-07 08:24:14.153148,0.98
2020-01-07 08:24:14.203173,0.95
2020-01-07 08:24:14.253264,0.92
2020-01-07 08:24:14.311156,0.87
2020-01-07 08:24:14.363169,0.81
2020-01-07 08:24:14.413288,0.75
2020-01-07 08:24:14.468169,0.67
2020-01-07 08:24:14.518245,0.59
2020-01-07 08:24:14.573383,0.5
2020-01-07 08:24:14.628143,0.4
2020-01-07 08:24:14.678237,0.31
2020-01-07 08:24:14.733176,0.2
2020-01-07 08:24:14.783230,0.11
2020-01-07 08:24:14.836015,0.01
2020-01-07 08:24:14.888210,-0.1
2020-01-07 08:24:14.938253,-0.2
2020-01-07 08:24:14.988274,-0.3
2020-01-07 08:24:15.038337,-0.39
2020-01-07 08:24:15.088897,-0.48
2020-01-07 08:24:15.143352,-0.58
2020-01-07 08:24:15.198253,-0.66
2020-01-07 08:24:15.253215,-0.74
2020-01-07 08:24:15.303322,-0.8
2020-01-07 08:24:15.356334,-0.86
2020-01-07 08:24:15.408189,-0.91
2020-01-07 08:24:15.458221,-0.95
2020-01-07 08:24:15.508228,-0.97
2020-01-07 08:24:15.558474,-0.99
2020-01-07 08:24:15.608770,-1.0
2020-01-07 08:24:15.663273,-1.0
2020-01-07 08:24:15.718233,-0.98
2020-01-07 08:24:15.768261,-0.96
2020-01-07 08:24:15.818339,-0.92
2020-01-07 08:24:15.870290,-0.88
2020-01-07 08:24:15.923244,-0.82
2020-01-07 08:24:15.978191,-0.75
2020-01-07 08:24:16.028202,-0.69
2020-01-07 08:24:16.078658,-0.61
2020-01-07 08:24:16.133331,-0.52
2020-01-07 08:24:16.188246,-0.42
2020-01-07 08:24:16.243194,-0.32
2020-01-07 08:24:16.293206,-0.22
2020-01-07 08:24:16.343570,-0.12
2020-01-07 08:24:16.393623,-0.02
2020-01-07 08:24:16.448268,0.09
2020-01-07 08:24:16.499440,0.18
2020-01-07 08:24:16.553156,0.29
2020-01-07 08:24:16.603232,0.39
2020-01-07 08:24:16.658236,0.48
2020-01-07 08:24:16.713122,0.58
2020-01-07 08:24:16.763125,0.66
2020-01-07 08:24:16.813252,0.73
2020-01-07 08:24:16.868208,0.8
2020-01-07 08:24:16.918274,0.86
2020-01-07 08:24:16.973146,0.91
2020-01-07 08:24:17.028143,0.95
2020-01-07 08:24:17.083110,0.98
2020-01-07 08:24:17.133278,0.99
2020-01-07 08:24:17.192076,1.0
2020-01-07 08:24:17.244127,0.99
2020-01-07 08:24:17.298151,0.98
2020-01-07 08:24:17.353224,0.95
2020-01-07 08:24:17.408312,0.91
2020-01-07 08:24:17.459759,0.86
2020-01-07 08:24:17.513139,0.8
2020-01-07 08:24:17.568121,0.73
2020-01-07 08:24:17.618126,0.65
2020-01-07 08:24:17.668208,0.58
2020-01-07 08:24:17.723315,0.48
2020-01-07 08:24:17.778079,0.38
2020-01-07 08:24:17.828243,0.29
2020-01-07 08:24:17.882223,0.19
2020-01-07 08:24:17.933402,0.08
2020-01-07 08:24:17.989454,-0.03
2020-01-07 08:24:18.043180,-0.14
2020-01-07 08:24:18.098197,-0.24
2020-01-07 08:24:18.153261,-0.35
2020-01-07 08:24:18.203267,-0.44
2020-01-07 08:24:18.258328,-0.54
2020-01-07 08:24:18.313249,-0.63
2020-01-07 08:24:18.368177,-0.71
2020-01-07 08:24:18.418240,-0.78
2020-01-07 08:24:18.468961,-0.83
2020-01-07 08:24:18.524071,-0.89
2020-01-07 08:24:18.580166,-0.93
2020-01-07 08:24:18.633174,-0.97
2020-01-07 08:24:18.683271,-0.99
2020-01-07 08:24:18.733405,-1.0
2020-01-07 08:24:18.783894,-1.0
2020-01-07 08:24:18.838161,-0.99
2020-01-07 08:24:18.888170,-0.97
2020-01-07 08:24:18.938232,-0.94
2020-01-07 08:24:18.988275,-0.9
2020-01-07 08:24:19.043813,-0.84
2020-01-07 08:24:19.098202,-0.78
2020-01-07 08:24:19.153217,-0.7
2020-01-07 08:24:19.203274,-0.63
2020-01-07 08:24:19.258256,-0.54
2020-01-07 08:24:19.308910,-0.47
2020-01-07 08:24:19.363213,-0.35
2020-01-07 08:24:19.418265,-0.25
2020-01-07 08:24:19.473304,-0.14
2020-01-07 08:24:19.529124,-0.03
2020-01-07 08:24:19.583152,0.08
2020-01-07 08:24:19.635479,0.18
2020-01-07 08:24:19.688580,0.28
2020-01-07 08:24:19.744571,0.39
2020-01-07 08:24:19.795718,0.48
2020-01-07 08:24:19.846794,0.56
2020-01-07 08:24:19.899033,0.65
2020-01-07 08:24:19.950266,0.72
2020-01-07 08:24:20.003202,0.8
2020-01-07 08:24:20.053231,0.85
2020-01-07 08:24:20.108145,0.9
2020-01-07 08:24:20.158580,0.94
2020-01-07 08:24:20.213107,0.97
2020-01-07 08:24:20.268082,0.99
2020-01-07 08:24:20.318107,1.0
2020-01-07 08:24:20.369956,1.0
2020-01-07 08:24:20.423059,0.98
2020-01-07 08:24:20.473220,0.96
2020-01-07 08:24:20.528071,0.92
2020-01-07 08:24:20.578184,0.88
2020-01-07 08:24:20.628615,0.83
2020-01-07 08:24:20.683085,0.76
2020-01-07 08:24:20.738111,0.68
2020-01-07 08:24:20.788118,0.61
2020-01-07 08:24:20.838131,0.52
2020-01-07 08:24:20.888600,0.44
2020-01-07 08:24:20.943104,0.33
2020-01-07 08:24:20.993135,0.24
2020-01-07 08:24:21.048072,0.13
2020-01-07 08:24:21.098080,0.03
2020-01-07 08:24:21.148404,-0.07
2020-01-07 08:24:21.203210,-0.18
2020-01-07 08:24:21.258191,-0.29
2020-01-07 08:24:21.313214,-0.39
2020-01-07 08:24:21.363234,-0.48
2020-01-07 08:24:21.413712,-0.56
2020-01-07 08:24:21.468114,-0.65
2020-01-07 08:24:21.518303,-0.72
2020-01-07 08:24:21.573156,-0.8
2020-01-07 08:24:21.623327,-0.85
2020-01-07 08:24:21.674123,-0.9
2020-01-07 08:24:21.728172,-0.94
2020-01-07 08:24:21.783184,-0.97
2020-01-07 08:24:21.838198,-0.99
2020-01-07 08:24:21.888242,-1.0
2020-01-07 08:24:21.942032,-1.0
2020-01-07 08:24:21.993136,-0.98
2020-01-07 08:24:22.048133,-0.96
2020-01-07 08:24:22.103168,-0.92
2020-01-07 08:24:22.153349,-0.87
2020-01-07 08:24:22.208212,-0.81
2020-01-07 08:24:22.258297,-0.75
2020-01-07 08:24:22.313113,-0.67
2020-01-07 08:24:22.363137,-0.6
2020-01-07 08:24:22.413225,-0.51
2020-01-07 08:24:22.463340,-0.43
2020-01-07 08:24:22.518125,-0.32
2020-01-07 08:24:22.568138,-0.23
2020-01-07 08:24:22.623166,-0.12
2020-01-07 08:24:22.673227,-0.02
2020-01-07 08:24:22.728156,0.09
2020-01-07 08:24:22.783058,0.2
2020-01-07 08:24:22.838014,0.31
2020-01-07 08:24:22.893089,0.41
2020-01-07 08:24:22.943259,0.5
2020-01-07 08:24:22.998078,0.58
2020-01-07 08:24:23.053107,0.68
2020-01-07 08:24:23.108028,0.75
2020-01-07 08:24:23.158032,0.81
2020-01-07 08:24:23.208250,0.87
2020-01-07 08:24:23.260513,0.91
2020-01-07 08:24:23.313016,0.95
2020-01-07 08:24:23.368021,0.98
2020-01-07 08:24:23.418039,1.0
2020-01-07 08:24:23.468313,1.0
2020-01-07 08:24:23.523141,0.99
2020-01-07 08:24:23.573329,0.98
2020-01-07 08:24:23.628088,0.95
2020-01-07 08:24:23.683017,0.91
2020-01-07 08:24:23.733311,0.86
2020-01-07 08:24:23.788072,0.8
2020-01-07 08:24:23.843001,0.73
2020-01-07 08:24:23.893019,0.66
2020-01-07 08:24:23.943045,0.58
2020-01-07 08:24:23.993315,0.49
2020-01-07 08:24:24.048401,0.4
2020-01-07 08:24:24.103003,0.29
2020-01-07 08:24:24.153016,0.2
2020-01-07 08:24:24.208017,0.09
2020-01-07 08:24:24.258336,-0.01
2020-01-07 08:24:24.311117,-0.1
2020-01-07 08:24:24.363096,-0.22
2020-01-07 08:24:24.418128,-0.33
2020-01-07 08:24:24.468179,-0.42
2020-01-07 08:24:24.518212,-0.51
2020-01-07 08:24:24.574048,-0.6
2020-01-07 08:24:24.628320,-0.68
2020-01-07 08:24:24.683102,-0.76
2020-01-07 08:24:24.733194,-0.82
2020-01-07 08:24:24.783331,-0.87
2020-01-07 08:24:24.838230,-0.92
2020-01-07 08:24:24.888854,-0.94
2020-01-07 08:24:24.943114,-0.98
2020-01-07 08:24:24.993232,-1.0
2020-01-07 08:24:25.043275,-1.0
2020-01-07 08:24:25.098220,-0.99
2020-01-07 08:24:25.164884,-0.98
2020-01-07 08:24:25.268396,-0.93
2020-01-07 08:24:25.323237,-0.84
2020-01-07 08:24:25.373536,-0.78
2020-01-07 08:24:25.429230,-0.71
2020-01-07 08:24:25.482215,-0.65
2020-01-07 08:24:25.533113,-0.54
2020-01-07 08:24:25.583137,-0.46
2020-01-07 08:24:25.633149,-0.37
2020-01-07 08:24:25.707958,-0.3
2020-01-07 08:24:25.762454,-0.13
2020-01-07 08:24:25.816841,-0.02
2020-01-07 08:24:25.868181,0.09
2020-01-07 08:24:25.923092,0.2
2020-01-07 08:24:25.973159,0.3
2020-01-07 08:24:26.023429,0.39
2020-01-07 08:24:26.078038,0.49
2020-01-07 08:24:26.128159,0.58
2020-01-07 08:24:26.183032,0.66
2020-01-07 08:24:26.268038,0.71
2020-01-07 08:24:26.318329,0.84
2020-01-07 08:24:26.372977,0.89
2020-01-07 08:24:26.423013,0.93
2020-01-07 08:24:26.473176,0.97
2020-01-07 08:24:26.524052,0.99
2020-01-07 08:24:26.576082,1.0
2020-01-07 08:24:26.628083,1.0
2020-01-07 08:24:26.683072,0.99
2020-01-07 08:24:26.733244,0.97
2020-01-07 08:24:26.783530,0.94
2020-01-07 08:24:26.838053,0.89
2020-01-07 08:24:26.892999,0.84
2020-01-07 08:24:26.943058,0.78
2020-01-07 08:24:26.998262,0.71
2020-01-07 08:24:27.053280,0.62
2020-01-07 08:24:27.103683,0.54
2020-01-07 08:24:27.158045,0.45
2020-01-07 08:24:27.213055,0.35
2020-01-07 08:24:27.267960,0.24
2020-01-07 08:24:27.318226,0.14
2020-01-07 08:24:27.368460,0.04
2020-01-07 08:24:27.423086,-0.07
2020-01-07 08:24:27.473111,-0.17
2020-01-07 08:24:27.523189,-0.26
2020-01-07 08:24:27.573468,-0.36
2020-01-07 08:24:27.626771,-0.45
2020-01-07 08:24:27.678120,-0.54
2020-01-07 08:24:27.733045,-0.63
2020-01-07 08:24:27.783523,-0.71
2020-01-07 08:24:27.838419,-0.78
2020-01-07 08:24:27.893159,-0.85
2020-01-07 08:24:27.948102,-0.9
2020-01-07 08:24:28.003077,-0.94
2020-01-07 08:24:28.053284,-0.97
2020-01-07 08:24:28.108097,-0.99
2020-01-07 08:24:28.163192,-1.0
2020-01-07 08:24:28.213200,-1.0
2020-01-07 08:24:28.268035,-0.98
2020-01-07 08:24:28.318119,-0.96
2020-01-07 08:24:28.371015,-0.93
2020-01-07 08:24:28.423039,-0.88
2020-01-07 08:24:28.473050,-0.83
2020-01-07 08:24:28.528023,-0.76
2020-01-07 08:24:28.578090,-0.69
2020-01-07 08:24:28.628127,-0.62
2020-01-07 08:24:28.678266,-0.53
2020-01-07 08:24:28.733070,-0.44
2020-01-07 08:24:28.788038,-0.34
2020-01-07 08:24:28.838151,-0.24
2020-01-07 08:24:28.893063,-0.13
2020-01-07 08:24:28.943326,-0.03
2020-01-07 08:24:28.997923,0.08
2020-01-07 08:24:29.047924,0.18
2020-01-07 08:24:29.097930,0.27
2020-01-07 08:24:29.148240,0.37
2020-01-07 08:24:29.202934,0.47
2020-01-07 08:24:29.253008,0.55
2020-01-07 08:24:29.307917,0.64
2020-01-07 08:24:29.357962,0.72
2020-01-07 08:24:29.408302,0.78
2020-01-07 08:24:29.462885,0.85
2020-01-07 08:24:29.513001,0.89
2020-01-07 08:24:29.567952,0.94
2020-01-07 08:24:29.623181,0.97
2020-01-07 08:24:29.677932,0.99
2020-01-07 08:24:29.728109,1.0
2020-01-07 08:24:29.782937,1.0
2020-01-07 08:24:29.832940,0.98
2020-01-07 08:24:29.882942,0.96
2020-01-07 08:24:29.933241,0.93
